757	1140	1040	543	622	1047	1077	821
690	1193	995	409	541	965	1007	800
583	1110	1025	407	699	1050	936	803
567	1120	1010	406	678	1008	884	812
598	1088	1029	343	646	1051	860	808
602	998	1014	330	610	1012	753	716
617	1014	1044	348	655	1127	698	642
680	1097	1002	388	512	1060	770	634
697	1074	967	362	493	1062	767	628
647	1018	974	347	482	1054	709	604
584	1076	914	335	489	1020	728	620
601	1087	983	305	371	914	804	700
523	992	961	244	292	899	772	748
450	1045	1027	263	325	870	826	762
495	1107	1025	313	397	808	794	773
553	1211	1063	315	401	894	790	792
503	1099	988	314	399	902	770	835
492	1097	972	273	424	942	831	804
491	1046	1065	256	399	902	767	742
454	1003	1071	193	333	879	814	762
383	878	1054	176	338	852	840	740
397	988	1078	175	350	896	766	603
454	1009	1048	175	329	858	666	555
482	1062	913	182	318	859	673	666
468	1136	854	168	320	889	629	680
470	1108	818	162	307	919	655	785
433	1029	799	202	319	847	719	845
478	1016	837	224	302	827	696	884
451	930	858	305	470	792	677	786
466	743	839	316	559	807	798	813
497	768	830	323	564	844	801	765
529	808	878	302	559	776	748	707
458	763	954	310	567	758	743	679
472	785	938	240	452	889	772	688
447	831	931	252	350	894	699	603
419	876	1037	265	325	797	601	527
413	822	1053	274	299	827	579	519
455	856	1005	256	288	909	671	549
459	969	1019	247	273	868	647	635
480	1019	1105	246	247	820	631	673
505	991	1042	234	224	760	624	643
504	1011	983	214	243	768	687	682
494	1097	973	204	281	830	683	699
465	999	981	213	265	747	653	628
472	993	924	195	256	749	656	578
449	979	905	187	285	816	723	673
418	955	843	174	287	843	757	737
352	964	899	179	247	721	750	765
382	949	838	172	288	751	730	742
388	925	780	183	386	826	804	827
366	920	834	180	446	894	836	809
394	987	923	184	441	838	796	709
507	891	905	188	480	879	784	614
572	945	894	171	493	915	863	626
553	934	870	149	472	875	928	573
542	976	812	147	401	755	867	497
555	1096	815	160	412	756	856	577
450	1122	732	152	436	754	947	629
340	1096	719	145	418	749	921	766
314	1141	840	153	368	710	756	693
347	1097	859	174	378	667	791	731
303	948	782	163	355	742	806	695
306	868	854	200	388	887	711	699
297	886	960	212	369	814	653	565
317	809	924	214	374	808	676	627
297	875	986	205	364	860	675	624
298	914	996	205	380	817	693	616
308	896	933	164	247	556	620	653
302	856	820	145	271	693	641	696
296	852	802	164	311	821	662	673
311	746	689	148	300	852	591	666
317	730	761	146	285	858	524	672
338	836	776	166	327	956	614	604
395	912	819	167	314	865	621	548
395	982	856	148	343	917	705	511
377	1040	838	150	361	887	798	507
457	1098	837	155	359	888	842	516
481	1095	860	139	333	816	817	498
453	1087	930	147	354	922	795	515
488	1048	863	160	301	806	693	631
503	1112	936	171	278	805	693	658
416	1075	895	175	288	833	659	688
387	1049	862	169	310	867	654	768
369	1038	753	165	296	820	746	810
346	1039	784	152	283	794	728	742
414	942	800	162	288	783	612	685
428	893	884	167	292	772	690	749
401	864	908	171	251	840	711	681
433	890	994	193	234	787	664	604
418	882	976	181	207	758	674	590
340	941	956	183	230	729	673	574
330	916	860	172	242	687	605	403
352	958	832	170	242	577	606	500
351	1042	900	190	260	582	581	497
370	1073	911	202	297	671	594	557
349	992	873	177	292	796	682	587
349	966	870	178	286	821	684	696
365	1020	936	184	311	872	679	673
335	951	790	153	331	930	660	704
334	1076	860	154	334	921	693	698
357	1133	907	163	340	839	625	714
386	1219	927	187	364	893	603	696
387	1246	874	195	365	831	588	697
442	1170	931	190	365	867	619	738
459	1077	984	209	414	837	569	753
487	1081	1067	222	446	889	626	764
489	1085	1163	221	435	808	660	697
468	1036	1219	226	481	804	649	652
423	1054	1241	229	530	904	747	673
400	1067	1260	226	498	893	776	657
368	1053	1153	235	505	985	715	702
422	1088	1085	223	487	1052	745	759
436	1062	1023	219	442	1070	774	776
477	1083	981	261	380	930	712	685
498	1039	931	260	399	995	714	733
509	990	888	245	438	981	847	811
438	847	874	252	454	1022	811	782
455	958	928	261	454	977	786	745
455	925	888	212	438	959	793	792
461	987	833	186	423	1028	922	742
461	1079	941	183	333	926	868	605
508	1198	982	206	309	788	869	556
503	1117	934	199	346	865	867	618
489	1103	921	203	374	913	944	819
449	1017	936	221	337	808	831	881
477	919	914	261	315	753	761	905
477	872	899	247	310	779	750	905
469	829	898	245	353	865	828	916
514	877	994	270	343	809	684	744
547	942	1026	279	347	734	614	668
513	969	1055	247	382	814	677	631
515	1025	1001	252	501	1009	759	695
541	1113	1015	264	431	949	757	651
482	1162	1036	274	415	970	755	629
451	1146	930	260	430	1024	787	641
426	1131	911	261	419	1036	738	589
414	1195	1008	253	277	885	713	565
400	1111	1015	253	279	829	584	549
396	1019	895	211	302	903	717	598
386	1022	937	202	277	856	771	687
399	1021	884	197	259	810	782	689
388	868	831	213	259	793	710	647
406	857	764	183	270	829	817	719
417	873	813	183	246	730	700	717
431	918	888	208	264	748	690	609
427	982	974	202	288	738	691	608
395	978	922	195	354	834	690	681
323	1025	946	200	352	796	632	615
