Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,actionCategry
150,289,116,159,117,28,133,276,0
114,280,132,131,88,29,104,218,0
105,248,131,111,76,28,91,183,0
94,267,115,92,60,29,67,142,0
80,243,110,77,47,27,55,106,0
74,204,115,61,42,27,40,77,0
69,213,104,55,38,24,38,62,0
51,212,93,46,37,26,32,57,0
49,163,94,46,35,22,29,50,0
60,181,93,41,32,22,30,40,0
73,205,90,33,29,22,29,45,0
92,199,102,38,29,25,29,46,0
97,251,113,49,30,26,28,44,0
108,252,109,60,32,27,30,45,0
114,228,110,66,33,28,30,47,0
108,229,108,66,30,27,30,41,0
93,228,87,63,32,24,30,38,0
88,190,82,59,34,24,32,48,0
71,186,77,46,33,25,32,49,0
93,188,109,51,31,27,33,53,0
90,165,110,53,33,28,34,53,0
88,162,114,56,33,29,31,54,0
88,133,127,54,30,27,30,47,1
89,146,128,59,29,27,33,47,1
45,153,112,51,30,25,28,43,1
63,157,105,51,30,26,26,45,1
63,147,106,48,28,28,25,44,1
64,146,95,46,29,27,25,44,1
71,174,100,40,28,29,26,44,1
72,169,105,38,27,28,25,43,1
58,174,105,37,26,27,27,39,1
92,172,100,37,25,25,29,43,1
94,167,113,41,28,28,28,45,1
91,149,119,42,29,27,27,44,1
91,171,110,50,29,25,29,44,1
88,166,114,51,31,26,26,45,1
62,157,118,52,34,26,27,43,1
56,155,124,50,32,26,29,44,1
55,132,115,53,31,25,27,43,1
53,111,112,45,32,24,27,40,1
53,115,114,47,32,25,30,41,1
41,122,109,48,30,26,31,35,1
49,141,92,48,28,24,29,36,1
47,143,100,45,30,26,30,38,1
47,140,104,51,30,26,29,44,1
46,134,103,54,28,26,30,40,1
67,134,104,52,29,25,26,43,1
63,112,97,51,30,25,26,40,1
63,111,112,50,29,23,24,37,1
63,113,139,50,31,23,26,33,1
66,149,160,61,36,27,28,39,1
51,212,167,63,36,30,30,41,1
50,219,164,63,38,30,33,43,1
47,224,149,64,37,32,35,43,1
47,224,148,71,36,34,33,41,1
63,226,144,65,37,32,36,46,1
58,177,138,65,38,35,36,48,1
66,170,140,65,35,69,83,51,1
91,183,224,126,56,93,120,147,1
103,192,267,137,61,118,186,301,1
111,178,281,161,231,191,210,407,1
166,208,299,205,275,353,511,631,1
216,224,411,245,298,449,597,698,1
216,259,410,224,318,510,732,877,1
219,357,440,236,326,515,735,854,1
259,359,502,231,262,541,803,850,1
336,364,539,224,232,526,724,718,1
331,364,531,222,229,472,667,707,1
351,332,539,226,208,455,602,621,1
381,216,530,217,228,492,694,725,1
401,219,568,217,202,462,660,749,1
661,193,632,215,212,482,663,811,1
858,191,617,180,190,498,671,781,1
989,208,631,179,184,462,622,799,1
1134,210,641,180,176,440,548,757,1
1133,191,567,175,187,425,492,711,1
979,198,501,153,178,316,387,640,1
820,252,475,149,178,251,376,673,1
663,292,460,147,172,237,341,531,1
364,293,438,143,164,229,278,476,1
317,297,478,140,167,221,274,514,1
306,294,445,135,151,212,276,511,1
261,276,486,143,162,214,277,491,1
219,216,481,141,168,205,267,500,1
178,217,451,127,169,178,254,501,1
188,214,519,134,155,179,252,449,1
193,199,535,120,147,176,240,477,1
203,149,506,110,157,169,211,478,1
192,154,527,103,169,199,231,462,1
205,149,553,104,144,190,234,469,1
213,145,519,90,142,190,257,513,1
230,134,530,105,148,191,263,520,1
221,133,535,106,131,251,252,513,1
226,131,503,109,114,277,271,605,1
210,133,508,130,115,280,274,612,1
209,141,468,136,129,287,267,680,1
178,148,435,140,144,297,288,752,1
182,150,485,147,147,249,295,772,1
196,152,611,206,155,205,269,726,1
221,154,612,209,186,193,290,792,1
213,151,620,229,201,246,308,737,1
261,163,726,249,204,249,293,728,1
261,165,688,245,200,254,351,823,1
279,165,574,207,199,256,357,839,1
258,158,602,193,185,276,347,778,1
279,155,591,174,168,241,336,799,1
240,137,456,135,149,225,342,750,1
255,136,438,133,143,218,289,634,1
230,158,559,144,147,224,275,569,1
239,163,564,146,131,204,269,558,1
216,161,564,129,140,176,260,492,1
213,165,587,127,138,172,244,452,1
191,153,635,137,133,172,222,391,1
193,129,546,112,118,149,230,387,1
180,115,531,111,119,175,216,349,1
192,113,506,111,98,187,213,358,1
202,117,511,119,94,190,217,359,1
212,127,473,104,96,190,226,405,1
211,138,506,114,102,267,253,434,1
204,142,467,105,89,256,255,451,1
189,151,517,114,94,248,253,464,1
204,152,500,127,107,261,285,537,1
232,158,463,133,138,284,304,605,1
251,148,467,132,188,245,306,660,1
274,138,475,135,194,240,301,647,1
269,131,414,127,194,240,303,623,1
258,127,381,109,198,232,282,594,1
233,119,411,108,182,230,312,609,1
222,114,339,97,147,224,330,608,1
207,116,321,98,143,213,328,601,1
234,121,330,93,138,212,315,616,1
232,114,326,96,152,209,314,587,1
221,106,287,94,148,186,270,544,1
213,100,293,93,130,169,231,485,1
208,109,273,91,131,171,223,485,1
197,107,341,99,139,179,237,504,1
179,105,352,98,124,205,252,494,1
198,113,406,100,128,205,253,452,1
191,136,476,109,122,190,230,431,1
187,137,482,109,121,191,259,454,1
175,146,440,118,125,184,271,455,1
202,146,471,113,114,152,241,456,1
191,151,457,112,108,139,230,440,1
182,128,361,102,106,132,233,451,1
186,118,363,106,105,197,226,490,1
185,105,339,91,109,219,196,454,1
166,103,302,99,106,224,216,441,1
151,88,262,91,98,235,208,413,1
169,106,378,88,122,285,215,412,1
157,105,367,72,116,262,199,324,1
148,107,393,72,115,252,212,304,1
148,124,430,63,112,257,204,331,1
151,122,438,69,118,248,209,352,1
