Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,actionCategry
33,100,83,304,144,40,29,45,0
35,100,114,309,137,44,27,26,0
36,87,268,342,136,45,30,28,0
34,75,289,354,123,41,29,26,0
33,74,287,313,115,41,28,26,0
34,67,292,256,88,38,28,25,0
32,62,282,260,82,36,30,27,0
26,41,150,213,71,34,28,24,0
24,39,116,220,71,33,32,25,0
24,38,109,205,61,30,31,25,0
23,37,103,170,56,36,33,27,0
24,34,112,180,78,51,34,25,0
24,36,122,187,76,60,39,30,0
23,30,113,157,80,63,38,30,0
23,29,139,161,82,80,40,31,0
22,32,139,193,92,107,56,33,0
21,31,153,162,92,123,58,35,0
26,29,139,152,90,152,62,37,0
45,29,160,161,86,157,62,41,0
45,30,163,160,85,154,61,40,1
48,37,212,197,144,217,104,46,1
49,38,201,201,154,226,110,47,1
48,38,206,207,156,206,108,43,1
30,37,190,204,164,207,111,39,1
29,36,177,220,165,206,111,40,1
28,36,132,185,144,119,64,33,1
45,51,164,292,214,80,50,32,1
49,68,282,321,227,78,47,31,1
50,70,308,384,257,65,39,30,1
55,141,336,386,284,66,39,30,1
56,146,337,397,281,61,36,29,1
46,148,342,333,235,56,34,27,1
42,147,306,316,240,55,33,26,1
43,152,281,238,203,52,32,28,1
59,96,243,219,162,40,30,27,1
57,89,238,198,145,39,26,25,1
56,88,222,186,124,34,23,24,1
55,79,143,170,92,37,27,26,1
53,68,143,161,89,39,30,25,1
31,59,138,167,134,47,32,25,1
28,53,116,134,132,48,33,25,1
27,38,92,131,137,148,62,36,1
26,35,78,158,148,173,68,35,1
25,35,84,168,153,183,69,34,1
22,38,90,166,120,185,70,34,1
27,45,94,167,116,206,81,40,1
26,49,109,174,100,157,65,32,1
30,52,127,145,69,131,58,31,1
32,55,185,133,62,118,57,31,1
35,61,211,141,52,114,57,39,1
33,57,210,134,49,69,40,35,1
34,53,222,122,46,90,45,46,1
34,50,215,123,55,100,54,53,1
32,45,174,119,57,104,59,60,1
28,35,145,100,60,106,61,56,1
26,36,170,115,59,106,60,56,1
28,41,213,138,61,78,54,49,1
25,45,240,157,97,60,43,39,1
26,47,244,166,105,49,35,31,1
33,65,283,181,106,49,32,34,1
34,68,276,176,105,44,31,31,1
31,65,228,147,103,41,30,30,1
31,62,203,149,66,38,30,30,1
30,60,191,135,47,36,26,28,1
23,41,116,122,42,26,22,24,1
23,36,103,155,61,27,23,26,1
127,63,104,281,74,31,58,97,1
151,67,86,272,80,35,64,101,1
154,69,92,279,78,33,64,103,1
183,72,202,303,89,32,74,120,1
324,148,239,375,195,64,159,234,1
370,178,257,311,212,71,177,275,1
376,184,281,310,212,77,183,289,1
393,187,282,307,215,79,184,296,1
387,187,218,281,214,80,184,294,1
293,138,176,155,134,58,123,225,1
219,92,146,149,150,65,124,185,1
198,83,107,156,169,60,122,167,1
162,74,115,150,227,67,123,157,1
165,73,119,157,239,68,120,157,1
179,103,120,150,238,72,118,150,1
157,106,112,135,215,59,74,98,1
231,110,104,160,227,57,58,110,1
290,122,86,163,166,50,60,123,1
306,125,76,167,150,52,70,133,1
424,112,84,222,154,48,70,158,1
506,112,83,277,184,55,80,184,1
483,111,73,276,155,51,81,171,1
511,118,78,287,164,51,76,168,1
519,153,80,292,161,48,66,161,1
427,149,61,252,152,47,60,131,1
352,151,62,190,108,39,45,100,1
351,149,59,163,112,41,46,107,1
294,139,46,156,113,39,46,101,1
261,99,39,148,112,36,46,89,1
245,89,39,157,109,38,45,83,1
235,90,36,158,105,39,56,89,1
234,91,36,164,89,36,56,86,1
191,95,38,182,92,40,55,82,1
188,99,38,189,95,40,52,82,1
216,109,40,181,98,38,54,89,1
240,121,38,179,104,34,39,82,1
247,128,44,178,114,34,32,79,1
263,133,45,156,102,30,35,79,1
390,149,79,203,118,33,45,123,1
410,153,85,204,120,37,47,125,1
413,173,91,220,115,40,52,126,1
427,167,90,220,103,40,52,126,1
434,160,87,222,105,40,54,125,1
349,151,62,187,90,40,52,90,1
312,146,58,216,109,41,53,85,1
283,101,44,195,116,42,49,75,1
281,125,47,191,121,44,51,78,1
331,135,50,181,120,45,49,84,1
318,129,46,164,122,43,42,75,1
329,132,44,138,98,39,38,74,1
359,139,53,171,93,40,41,77,1
364,129,61,188,116,41,39,67,1
311,146,70,198,118,42,38,57,1
296,141,69,198,108,40,38,55,1
305,187,74,191,127,48,43,70,1
270,191,68,181,125,43,36,66,1
248,191,60,172,99,39,35,72,1
290,189,53,164,96,37,40,92,1
287,189,53,160,96,38,40,91,1
302,140,43,181,75,29,34,83,1
298,126,47,159,78,30,35,82,1
276,118,42,148,81,29,35,77,1
262,83,37,152,93,29,26,65,1
282,98,37,150,104,31,28,75,1
239,106,43,123,108,31,28,68,1
264,109,47,122,106,29,28,72,1
297,114,51,130,142,37,32,84,1
254,113,50,167,142,39,33,78,1
290,143,57,171,136,39,37,96,1
296,145,55,182,131,39,39,99,1
281,140,50,181,135,40,40,102,1
259,135,49,178,108,36,37,98,1
262,137,48,149,93,33,37,96,1
210,94,42,162,105,32,35,71,1
214,78,39,154,105,33,32,66,1
201,92,39,153,106,32,31,57,1
188,99,37,152,97,31,31,49,1
197,97,39,139,98,33,31,49,1
