Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,actionCategry
998,62,39,1448,103,78,76,186,0
1037,64,39,1514,98,74,65,164,0
1033,50,38,1505,79,74,66,145,0
937,49,36,1448,59,63,62,103,0
682,48,39,1345,46,61,54,90,0
571,55,38,1311,44,61,50,85,0
433,56,40,1203,44,59,49,90,0
520,58,40,1043,41,54,44,85,0
579,59,41,975,41,57,45,87,0
577,58,44,786,39,56,45,93,0
573,48,45,754,37,52,46,101,0
608,48,47,889,38,54,42,100,0
554,51,49,898,34,57,42,97,0
499,48,48,835,36,58,47,96,0
514,49,45,841,39,63,49,92,0
545,49,45,1030,42,60,52,77,0
656,47,44,1002,45,63,60,85,0
638,46,43,988,47,62,60,97,0
680,44,44,1024,47,61,55,135,0
862,48,45,1044,77,55,52,165,0
881,78,44,888,99,55,47,192,0
889,82,47,726,102,48,45,188,0
929,81,47,663,103,47,46,194,0
942,82,49,620,108,47,48,182,0
878,83,60,736,384,46,47,375,0
1200,64,66,1064,634,43,58,859,0
1207,76,89,1281,874,46,76,1070,0
1280,82,93,1426,893,54,91,1253,0
1290,82,99,1538,1082,58,96,1327,0
1221,81,95,1614,1126,60,102,1303,0
929,149,133,1422,1013,62,98,1078,0
893,149,130,1432,852,60,82,897,0
735,148,131,1341,858,52,72,649,0
683,150,127,1232,609,43,64,533,0
851,151,127,1095,399,41,66,561,0
874,81,84,1077,400,42,88,743,0
936,69,65,1041,384,46,101,956,0
1051,65,96,1201,453,51,109,1098,0
1364,62,95,1343,569,57,114,1213,0
1374,62,93,1381,628,58,113,1227,0
1425,69,94,1462,920,65,125,1376,0
1364,104,105,1325,1017,94,122,1331,0
1371,106,76,1159,1015,96,115,1270,0
1122,110,76,969,1059,99,115,1198,0
1101,125,80,870,1108,104,123,1188,0
1062,136,81,656,1054,103,96,935,0
1067,119,67,524,1038,78,89,874,0
964,121,65,407,1046,77,86,803,0
978,130,68,354,1204,75,88,802,0
984,114,61,253,1198,70,77,949,0
888,95,57,176,1097,68,76,914,0
886,87,53,143,1056,71,79,913,0
928,86,54,127,1271,69,89,1174,0
1029,65,52,111,1276,92,102,1237,0
1029,69,54,138,1460,91,307,1439,0
1155,89,57,213,1535,106,393,1437,0
1190,97,61,248,1542,112,443,1402,0
1335,97,59,262,1413,112,516,1244,0
1282,100,54,285,1389,101,714,1235,0
1285,612,56,274,1202,323,709,943,0
1279,780,50,222,1112,371,808,930,1
1375,1008,47,196,1070,621,1003,892,1
1234,1123,46,196,965,768,1262,1000,1
1320,1349,45,198,644,942,1244,1093,1
1280,1420,39,201,463,998,1348,1139,1
1264,1525,43,195,275,1045,1395,1336,1
1332,1451,42,185,344,1141,1291,1617,1
1437,1376,44,182,759,1112,1147,1621,1
1369,1368,49,502,1143,1095,1169,1585,1
1483,1425,56,849,1239,1015,1052,1581,1
1598,1345,58,935,1283,957,939,1506,1
1523,1321,62,1059,1269,682,879,1290,1
1468,1361,60,1141,1073,581,694,1204,1
1464,1158,63,1103,650,290,492,1133,1
1361,906,62,864,455,235,422,1126,1
1264,735,63,773,347,209,257,1094,1
1212,727,63,600,266,196,242,1133,1
1340,637,75,425,239,166,222,1122,1
1320,637,94,198,262,158,281,1083,1
1335,602,491,196,238,161,257,1026,1
1376,794,761,250,193,136,261,1126,1
1356,881,973,233,198,121,268,1312,1
1357,1182,1169,236,222,118,268,1545,1
1316,1297,1381,305,240,91,189,1707,1
1335,1436,1387,330,257,78,203,1728,1
1445,1415,1311,363,298,86,196,1706,1
1459,1457,1177,383,302,106,183,1612,1
1414,1402,992,382,291,107,160,1451,1
1568,1369,876,340,250,109,150,1259,1
1634,1254,879,353,232,116,95,1330,1
1505,1301,1028,323,171,119,107,1292,1
1545,1358,1065,308,160,114,111,1108,1
1441,1346,1121,316,159,115,105,966,1
1282,1269,1000,310,143,114,102,945,1
1125,1189,869,296,164,126,107,724,1
984,1049,589,304,193,135,113,559,1
806,770,494,317,201,136,107,622,1
820,393,339,329,203,147,113,744,1
806,382,218,335,213,160,120,802,1
841,325,196,345,213,159,119,834,1
816,248,168,301,192,150,109,847,1
861,190,145,283,195,150,105,809,1
829,178,90,254,179,143,103,725,1
803,141,73,233,165,131,99,657,1
699,135,68,167,129,110,91,577,1
655,87,69,150,128,426,89,697,1
542,85,80,158,135,831,105,726,1
423,73,78,157,134,1019,105,1129,1
311,78,80,151,148,1118,103,1158,1
241,67,78,153,160,1259,104,1163,1
219,62,73,148,146,1296,117,1119,1
146,61,60,114,120,1199,104,1175,1
140,62,62,93,113,1124,100,807,1
153,53,57,103,87,1167,116,912,1
149,55,50,95,61,1142,115,922,1
208,55,50,98,62,1144,135,867,1
255,61,49,99,71,1108,171,792,1
261,59,47,102,92,1319,215,767,1
247,56,49,102,91,1285,270,615,1
252,60,55,116,104,1234,279,590,1
204,69,58,105,106,1185,267,579,1
155,65,57,111,113,1158,261,654,1
136,68,54,104,100,828,231,631,1
129,73,50,99,102,693,153,577,1
107,73,51,78,93,600,135,562,1
94,62,46,83,93,492,131,555,1
71,63,44,76,77,366,106,531,1
69,63,49,76,66,332,90,546,1
71,59,50,70,62,323,90,547,1
67,58,45,70,58,311,89,565,1
70,63,47,67,51,291,79,566,1
62,65,51,52,47,296,59,432,1
61,70,49,49,44,326,57,378,1
52,71,53,46,48,340,46,347,1
49,69,55,51,45,313,46,346,1
42,63,53,51,44,298,50,312,1
44,59,51,56,50,273,54,308,1
42,51,51,57,49,229,52,313,1
48,52,45,58,52,207,51,329,1
52,56,44,56,53,231,55,264,1
71,61,44,53,53,230,67,265,1
78,62,46,47,51,251,64,290,1
81,62,43,48,58,304,67,293,1
81,58,47,59,59,697,73,294,1
87,59,49,64,60,801,73,283,1
83,58,49,67,70,1024,64,288,1
86,57,50,78,78,1156,69,268,1
82,54,50,81,76,1173,71,248,1
90,56,48,75,74,1017,78,341,1
87,52,43,77,73,946,178,644,1
94,59,47,80,69,712,218,918,1
91,60,50,88,69,473,229,1262,1
210,79,62,99,75,396,229,1383,1
660,203,64,98,84,324,228,1415,1
939,634,398,167,133,289,172,1422,1
1177,841,829,335,169,246,132,1353,1
1293,1030,999,404,185,202,113,1041,1
1410,1208,1245,409,196,183,119,890,1
1369,1211,1368,537,198,158,121,809,1
1257,1065,1446,574,172,133,108,594,1
1101,954,1408,499,141,96,87,335,1
995,775,1425,444,115,88,84,329,1
918,527,1449,442,96,84,76,281,1
1169,590,1541,274,92,68,64,302,1
1351,677,1561,138,93,58,62,314,1
1407,971,1630,137,90,60,64,538,1
1464,1096,1644,137,97,74,97,787,1
1599,1201,1712,163,134,99,157,939,1
1573,1358,1644,361,259,122,608,1035,1
1477,1442,1666,497,263,150,716,1088,1
1500,1347,1507,725,305,163,943,1198,1
1469,1387,1445,927,342,431,1095,1179,1
1378,1364,1351,1225,628,495,1210,1160,1
1321,1244,1416,1381,942,828,1337,1205,1
1222,1287,1439,1546,1021,972,1391,1165,1
1217,1419,1464,1528,1073,1107,1329,971,1
1458,1489,1468,1585,1072,1142,1319,910,1
1536,1488,1312,1518,932,1242,1320,949,1
1456,1677,1103,1462,569,1138,1182,898,1
1514,1747,807,1316,408,1171,1209,993,1
1468,1737,1010,1257,176,1240,1252,1168,1
1282,1754,1188,1036,88,1291,1302,1247,1
1214,1826,1385,824,371,1256,1334,1210,1
1345,1732,1455,586,917,1282,1457,1295,1
1364,1733,1556,385,1241,1269,1549,1445,1
1584,1692,1388,275,1421,1176,1563,1441,1
1641,1679,1148,260,1599,1129,1635,1470,1
1754,1647,1050,493,1758,1133,1623,1549,1
1731,1754,1212,957,1609,1305,1485,1440,1
1691,1721,1423,1082,1385,1343,1348,1330,1
1520,1772,1635,1385,1202,1399,1304,1426,1
1515,1707,1691,1504,951,1589,1066,1370,1
1483,1631,1656,1485,600,1552,929,1321,1
1521,1444,1591,1468,876,1391,948,1338,1
1681,1466,1547,1640,1074,1365,1120,1401,1
1695,1467,1467,1616,1404,1357,1374,1270,1
1681,1598,1533,1757,1609,1041,1597,1220,1
1613,1760,1483,1834,1583,1077,1756,1310,1
1463,1776,1558,1671,1378,1021,1756,1435,1
1218,1579,1400,1415,1221,848,1701,1378,1
1072,1355,1350,1154,824,628,1572,1304,1
875,1016,1423,715,261,580,1587,1264,1
531,584,1626,272,208,504,1594,1147,1
223,194,1474,153,244,479,1535,924,1
207,154,1497,145,233,481,1404,747,1
165,128,1538,226,232,549,1332,789,1
138,96,1503,292,304,752,1067,1104,1
129,82,1474,310,484,920,909,1286,1
122,74,1481,309,514,1162,893,1522,1
105,59,1457,330,532,1289,936,1603,1
88,81,1328,282,532,1262,830,1553,1
80,100,1145,213,491,1179,891,1349,1
83,106,782,157,297,1014,719,1065,1
79,108,665,141,202,706,709,648,1
82,122,429,82,153,477,647,342,1
66,120,254,112,124,454,620,320,1
62,114,148,159,214,369,375,202,1
67,116,121,224,319,335,398,260,1
71,116,89,286,327,288,347,351,1
70,101,98,290,444,174,335,413,1
67,83,115,282,616,182,291,434,1
71,64,130,269,679,189,301,504,1
92,69,138,243,668,246,311,527,1
116,80,153,230,807,242,388,501,1
116,79,147,246,780,244,470,462,1
122,80,133,246,707,241,506,461,1
118,80,119,241,652,266,495,373,1
132,64,97,225,637,285,478,325,1
134,52,78,160,475,297,483,348,1
134,53,65,131,432,321,413,395,1
149,62,72,126,352,381,369,385,1
187,65,73,117,304,385,376,382,1
181,67,73,107,270,357,336,364,1
167,72,69,157,211,388,233,300,1
168,74,70,150,191,369,196,217,1
155,71,63,147,164,310,183,182,1
117,75,52,150,212,286,144,215,1
89,72,53,177,379,267,151,263,1
94,71,52,150,471,197,198,328,1
95,70,46,145,499,188,225,469,1
110,71,45,144,519,154,261,610,1
139,77,54,142,534,134,279,677,1
151,81,52,104,433,119,318,715,1
148,82,63,76,328,109,316,715,1
152,90,75,77,293,94,334,668,1
175,97,80,71,266,85,339,617,1
170,94,76,64,233,87,321,579,1
162,92,79,78,237,82,274,522,1
177,87,75,77,233,86,250,599,1
176,83,66,77,220,89,199,613,1
211,107,63,75,199,92,178,649,1
217,117,60,72,126,81,179,617,1
236,121,58,44,85,79,190,601,1
232,127,49,42,69,91,209,492,1
236,125,50,39,62,87,215,439,1
190,107,51,39,58,86,264,338,1
188,105,69,48,62,103,337,392,1
169,99,71,49,82,100,339,406,1
155,92,75,51,83,89,339,397,1
153,94,76,50,82,88,374,382,1
152,83,75,49,81,87,334,371,1
124,65,59,38,69,69,265,296,1
118,61,59,37,42,70,268,276,1
155,79,56,42,40,64,278,298,1
184,81,55,44,39,64,222,377,1
198,80,52,41,36,57,209,335,1
208,79,51,43,40,67,227,442,1
235,81,48,42,46,79,231,448,1
219,70,50,36,52,87,193,444,1
191,65,48,37,53,97,201,378,1
164,60,47,37,54,116,234,366,1
141,60,159,98,62,137,216,220,1
82,59,206,150,63,152,217,200,1
65,51,221,155,62,168,213,169,1
95,53,224,158,68,204,239,211,1
110,58,227,160,70,203,256,243,1
115,60,169,132,60,193,259,269,1
120,58,111,70,56,189,243,274,1
136,58,73,58,53,176,244,299,1
117,54,66,49,48,127,215,294,1
106,50,105,46,65,115,154,299,1
105,47,127,45,70,112,131,289,1
102,46,132,60,72,93,138,299,1
75,43,136,60,70,97,131,288,1
76,40,141,64,68,100,144,333,1
70,36,119,71,57,106,142,313,1
65,36,96,73,53,100,137,306,1
68,35,85,62,55,101,139,316,1
72,37,79,62,54,100,167,323,1
65,41,67,58,55,101,150,260,1
75,43,45,44,46,92,143,305,1
80,45,40,53,43,83,147,295,1
79,43,49,57,41,82,135,283,1
91,48,54,56,43,62,114,317,1
90,46,61,57,43,61,119,330,1
79,43,77,62,42,76,120,277,1
75,41,82,52,41,82,131,280,1
78,46,78,45,36,85,131,286,1
61,39,77,44,38,104,113,240,1
96,47,73,43,36,101,103,315,1
146,50,56,34,37,91,94,389,1
190,82,46,30,40,106,70,394,1
213,91,48,37,47,154,109,385,1
214,94,45,38,42,147,127,391,1
203,90,64,48,45,148,154,307,1
178,90,65,50,47,170,177,199,1
193,79,65,51,49,178,201,203,1
191,73,65,46,57,186,209,241,1
195,73,65,48,72,225,278,235,1
193,72,51,38,72,232,275,262,1
189,70,54,39,72,224,279,301,1
143,55,55,39,71,226,297,301,1
168,56,54,41,65,205,292,305,1
180,61,55,37,49,174,229,340,1
182,63,49,37,47,168,290,322,1
181,63,61,33,48,158,285,298,1
165,60,87,34,60,151,254,280,1
102,49,111,69,61,125,241,238,1
60,39,112,84,61,108,233,173,1
45,35,113,87,60,110,136,227,1
49,36,105,90,59,112,137,239,1
84,40,83,91,42,90,135,327,1
144,54,47,68,36,95,163,451,1
154,53,49,58,51,87,182,485,1
155,55,51,73,62,91,220,466,1
153,53,47,70,62,85,225,456,1
137,48,47,69,63,81,224,415,1
72,32,49,67,61,74,208,279,1
53,34,41,61,48,67,192,244,1
59,34,38,36,33,48,192,257,1
